"date","race","total votes","total refunds","source"
2020-04-24,1,164768,0,"https://www.nankankeiba.com/odds/202004240301010101.do"
2020-04-24,2,187553,0,"https://www.nankankeiba.com/odds/202004240301010201.do"
2020-04-24,3,227322,0,"https://www.nankankeiba.com/odds/202004240301010301.do"
2020-04-24,4,242079,0,"https://www.nankankeiba.com/odds/202004240301010401.do"
2020-04-24,5,286539,0,"https://www.nankankeiba.com/odds/202004240301010501.do"
2020-04-24,6,550277,0,"https://www.nankankeiba.com/odds/202004240301010601.do"
2020-04-24,7,556458,0,"https://www.nankankeiba.com/odds/202004240301010701.do"
2020-04-24,8,635740,0,"https://www.nankankeiba.com/odds/202004240301010801.do"
2020-04-24,9,770240,0,"https://www.nankankeiba.com/odds/202004240301010901.do"
2020-04-24,10,1193574,0,"https://www.nankankeiba.com/odds/202004240301011001.do"
2020-04-24,11,1059646,0,"https://www.nankankeiba.com/odds/202004240301011101.do"
2020-04-25,1,173331,0,"https://www.nankankeiba.com/odds/202004250301020101.do"
2020-04-25,2,122544,0,"https://www.nankankeiba.com/odds/202004250301020201.do"
2020-04-25,3,117069,0,"https://www.nankankeiba.com/odds/202004250301020301.do"
2020-04-25,4,137748,0,"https://www.nankankeiba.com/odds/202004250301020401.do"
2020-04-25,5,310664,0,"https://www.nankankeiba.com/odds/202004250301020501.do"
2020-04-25,6,329024,0,"https://www.nankankeiba.com/odds/202004250301020601.do"
2020-04-25,7,334501,0,"https://www.nankankeiba.com/odds/202004250301020701.do"
2020-04-25,8,322410,0,"https://www.nankankeiba.com/odds/202004250301020801.do"
2020-04-25,9,400479,0,"https://www.nankankeiba.com/odds/202004250301020901.do"
2020-04-25,10,556396,0,"https://www.nankankeiba.com/odds/202004250301021001.do"
2020-04-25,11,592138,0,"https://www.nankankeiba.com/odds/202004250301021101.do"
2020-04-26,1,117619,0,"https://www.nankankeiba.com/odds/202004260301030101.do"
2020-04-26,2,106647,0,"https://www.nankankeiba.com/odds/202004260301030201.do"
2020-04-26,3,107627,0,"https://www.nankankeiba.com/odds/202004260301030301.do"
2020-04-26,4,172902,0,"https://www.nankankeiba.com/odds/202004260301030401.do"
2020-04-26,5,263650,0,"https://www.nankankeiba.com/odds/202004260301030501.do"
2020-04-26,6,266595,0,"https://www.nankankeiba.com/odds/202004260301030601.do"
2020-04-26,7,352018,0,"https://www.nankankeiba.com/odds/202004260301030701.do"
2020-04-26,8,280429,0,"https://www.nankankeiba.com/odds/202004260301030801.do"
2020-04-26,9,447325,0,"https://www.nankankeiba.com/odds/202004260301030901.do"
2020-04-26,10,538417,0,"https://www.nankankeiba.com/odds/202004260301031001.do"
2020-04-26,11,492219,0,"https://www.nankankeiba.com/odds/202004260301031101.do"
2020-04-27,1,208270,0,"https://www.nankankeiba.com/odds/202004270301040101.do"
2020-04-27,2,215381,0,"https://www.nankankeiba.com/odds/202004270301040201.do"
2020-04-27,3,225723,0,"https://www.nankankeiba.com/odds/202004270301040301.do"
2020-04-27,4,268131,0,"https://www.nankankeiba.com/odds/202004270301040401.do"
2020-04-27,5,217750,0,"https://www.nankankeiba.com/odds/202004270301040501.do"
2020-04-27,6,316473,0,"https://www.nankankeiba.com/odds/202004270301040601.do"
2020-04-27,7,278713,0,"https://www.nankankeiba.com/odds/202004270301040701.do"
2020-04-27,8,353796,0,"https://www.nankankeiba.com/odds/202004270301040801.do"
2020-04-27,9,401939,0,"https://www.nankankeiba.com/odds/202004270301040901.do"
2020-04-27,10,,0,"https://www.nankankeiba.com/odds/202004270301041001.do"
2020-04-27,11,,0,"https://www.nankankeiba.com/odds/202004270301041101.do"
